method, precision_at_1, precision_at_3, precision_at_5, precision_at_7
dtw, 0.40, 0.48, 0.60, 0.74
shape_dtw, 0.32, 0.46, 0.58, 0.76
ddtw, 0.18, 0.34, 0.50, 0.60
wdtw, 0.32, 0.46, 0.60, 0.72
wddtw, 0.30, 0.42, 0.50, 0.60
adtw, 0.20, 0.34, 0.52, 0.66
erp, 0.22, 0.40, 0.58, 0.72
edr, 0.26, 0.40, 0.60, 0.68
msm, 0.20, 0.38, 0.52, 0.72
twe, 0.24, 0.40, 0.58, 0.76
lcss, 0.20, 0.34, 0.44, 0.54
euclidean, 0.18, 0.32, 0.52, 0.60
manhattan, 0.20, 0.40, 0.56, 0.60
minkowski, 0.18, 0.32, 0.52, 0.60
sbd, 0.22, 0.32, 0.44, 0.58
