method, precision_at_1, precision_at_3, precision_at_5, precision_at_7
dtw, 0.32, 0.44, 0.60, 0.74
shape_dtw, 0.38, 0.48, 0.58, 0.74
ddtw, 0.38, 0.62, 0.68, 0.78
wdtw, 0.30, 0.42, 0.60, 0.74
wddtw, 0.40, 0.60, 0.66, 0.72
adtw, 0.20, 0.34, 0.52, 0.68
erp, 0.24, 0.40, 0.54, 0.70
edr, 0.22, 0.42, 0.62, 0.76
msm, 0.22, 0.40, 0.56, 0.70
twe, 0.24, 0.42, 0.58, 0.72
lcss, 0.20, 0.36, 0.42, 0.52
euclidean, 0.18, 0.36, 0.52, 0.60
manhattan, 0.20, 0.38, 0.50, 0.64
minkowski, 0.18, 0.36, 0.52, 0.60
sbd, 0.22, 0.32, 0.42, 0.60
psdtw, 0.44, 0.52, 0.70, 0.78
