method, precision_at_1, precision_at_3, precision_at_5, precision_at_7, time in second (Server) (No. of dist calls) 
ADTW (2), 0.20, 0.34, 0.52, 0.72, 0.12674713134765625
DDTW (3), 0.18, 0.44, 0.52, 0.64, 0.11647224426269531
DTW (1), 0.36, 0.48, 0.56, 0.74, 0.11109232902526855
ERP (4), 0.22, 0.40, 0.54, 0.74, 0.11977744102478027
EDR (5), 0.26, 0.42, 0.56, 0.68, 0.11988639831542969
Euclidean (0), 0.18, 0.34, 0.52, 0.60, 0.005235433578491211
LCSS (6), 0.22, 0.34, 0.42, 0.56, 0.10894012451171875
Manhattan (7), 0.20, 0.38, 0.54, 0.64, 0.0048370361328125
Minkowski (8), 0.18, 0.34, 0.52, 0.60, 0.013193368911743164
MSM (9), 0.20, 0.40, 0.56, 0.72, 0.16660618782043457
SBD (10), 0.20, 0.34, 0.42, 0.64, 0.23900794982910156
Shape DTW (11), 0.36, 0.46, 0.54, 0.74, 1.091801643371582
Squared (12), 0.18, 0.34, 0.52, 0.60, 0.004795551300048828
TWE (13), 0.24, 0.40, 0.58, 0.74, 0.3147292137145996
WDDTW (14), 0.24, 0.46, 0.58, 0.62, 0.12713336944580078
WDTW (15), 0.30, 0.44, 0.60, 0.74, 0.11823320388793945
*, 0, 0, 0, 0, 0
PSED, 0.48, 0.60, 0.70, 0.84, 1876.2171049118042 (4181670351.0)
PSED (LB_Shen)
PSED-ADTW, 0.48, 0.60, 0.70, 0.84, 0
PSED-DDTW, 0.20, 0.48, 0.58, 0.64, 0
PSED-DTW, 0.42, 0.50, 0.64, 0.74, 0
PSED-ERP, 0.44, 0.56, 0.70, 0.80, 0
PSED-EDR, 0.22, 0.38, 0.50, 0.58, 0
PSED-Euclidean, 0.48, 0.60, 0.70, 0.84, 0
PSED-LCSS, 0.06, 0.12, 0.20, 0.26, 0
PSED-Manhattan, 0.44, 0.58, 0.70, 0.80, 0
PSED-Minkowski, 0.48, 0.62, 0.70, 0.84, 0
PSED-MSM, 0.44, 0.58, 0.70, 0.80, 0
PSED-SBD, 0.24, 0.36, 0.44, 0.50, 0
PSED-Shape DTW, 0.44, 0.58, 0.68, 0.80, 0
PSED-Squared, 0.48, 0.60, 0.70, 0.84, 0
PSED-TWE, 0.44, 0.58, 0.70, 0.82, 0
PSED-WDDTW, 0.24, 0.50, 0.60, 0.64, 0
PSED-WDTW, 0.40, 0.50, 0.64, 0.74, 0
*, 0, 0, 0, 0, 0
PSDTW, 0.42, 0.48, 0.64, 0.72, 39486.585753917694 (4141475524.0)
PSDTW (LB_Shen)
PSDTW-ADTW, 0.18, 0.40, 0.56, 0.64, 0
PSDTW-DDTW, 0.26, 0.40, 0.48, 0.54, 0
PSDTW-DTW, 0.42, 0.48, 0.64, 0.72, 0
PSDTW-ERP, 0.26, 0.50, 0.60, 0.72, 0
PSDTW-EDR, 0.30, 0.38, 0.50, 0.54, 0
PSDTW-Euclidean, 0.18, 0.40, 0.54, 0.64, 0
PSDTW-LCSS, 0.06, 0.24, 0.36, 0.44, 0
PSDTW-Manhattan, 0.22, 0.50, 0.60, 0.70, 0
PSDTW-Minkowski, 0.20, 0.46, 0.62, 0.68, 0
PSDTW-MSM, 0.22, 0.48, 0.62, 0.70, 0
PSDTW-SBD, 0.24, 0.44, 0.46, 0.58, 0
PSDTW-Shape DTW, 0.40, 0.56, 0.68, 0.78, 0
PSDTW-Squared, 0.18, 0.40, 0.54, 0.64, 0
PSDTW-TWE, 0.40, 0.52, 0.60, 0.78, 0
PSDTW-WDDTW, 0.34, 0.40, 0.48, 0.64, 0
PSDTW-WDTW, 0.40, 0.50, 0.64, 0.74, 0
