method, 2:1.25, 2:1.50, 2:1.75, 2:2.0, 3:1.25, 3:1.50, 3:1.75, 3:2.0, 4:1.25, 4:1.50, 4:1.75, 4:2.0
adtw, 0.54 0.84 0.90 0.92, 0.38 0.64 0.76 0.84, 0.38 0.66 0.78 0.84, 0.34 0.66 0.74 0.88, 0.60 0.78 0.84 0.88, 0.60 0.78 0.84 0.88
ddtw, 0.84 0.92 0.98 0.98, 0.78 0.94 1.00 1.00, 0.64 0.80 0.94 0.96, 0.72 0.88 0.96 0.98, 0.80 0.92 0.96 1.00, 0.66 0.86 0.94 1.00
dtw, 0.82 1.00 1.00 1.00, 0.88 1.00 1.00 1.00, 0.82 1.00 1.00 1.00, 0.84 0.98 1.00 1.00, 0.84 0.92 1.00 1.00, 0.84 0.96 1.00 1.00
erp, 1.00 1.00 1.00 1.00, 0.96 1.00 1.00 1.00, 0.88 1.00 1.00 1.00, 0.92 1.00 1.00 1.00, 1.00 1.00 1.00 1.00, 1.00 1.00 1.00 1.00
edr, 0.60 0.96 1.00 1.00, 0.54 0.72 0.96 0.98, 0.40 0.66 0.82 0.96, 0.48 0.76 0.94 0.98, 0.56 0.92 0.96 1.00
lcss, 0.14 0.48 0.62 0.70, 0.18 0.40 0.50 0.60, 0.14 0.36 0.58 0.66, 0.10 0.34 0.52 0.64, 0.20 0.54 0.72 0.82
manhattan, 0.50 0.72 0.84 0.90, 0.26 0.46 0.58 0.68, 0.30 0.44 0.58 0.70, 0.28 0.42 0.60 0.72, 0.58 0.80 0.92 0.94
minkowski, 0.30 0.56 0.68 0.76, 0.14 0.36 0.48 0.50, 0.16 0.34 0.42 0.52, 0.12 0.24 0.40 0.50, 0.30 0.50 0.58 0.80
msm, 0.98 1.00 1.00 1.00, 0.80 1.00 1.00 1.00, 0.82 1.00 1.00 1.00, 0.90 0.98 1.00 1.00, 0.98 1.00 1.00 1.00
sbd, 0.50 0.76 0.88 0.94, 0.34 0.50 0.66 0.76, 0.38 0.54 0.70 0.78, 0.22 0.48 0.66 0.84, 0.58 0.84 0.90 0.98
shape_dtw, 0.96 1.00 1.00 1.00, 1.00 1.00 1.00 1.00, 0.90 1.00 1.00 1.00, 0.96 1.00 1.00 1.00, 0.96 0.98 1.00 1.00
squared, 0.30 0.56 0.68 0.76, 0.14 0.36 0.48 0.50, 0.16 0.34 0.42 0.52, 0.12 0.24 0.40 0.50, 0.30 0.50 0.58 0.80
twe, 1.00 1.00 1.00 1.00, 1.00 1.00 1.00 1.00, 1.00 1.00 1.00 1.00, 0.98 1.00 1.00 1.00, 0.98 1.00 1.00 1.00
wddtw, 0.88 0.96 0.98 1.00, 0.80 0.92 1.00 1.00, 0.66 0.80 0.84 0.94, 0.68 0.86 0.94 0.96, 0.84 0.94 1.00 1.00
wdtw, 0.82 0.98 1.00 1.00, 0.88 0.96 1.00 1.00, 0.82 0.96 1.00 1.00, 0.82 0.98 1.00 1.00, 0.86 0.98 1.00 1.00


psed
psed (lb_shen)
psdtw
psdtw (lb_shen)
