method, 2:1.25, 2:1.50, 2:1.75, 2:2.0, 3:1.25, 3:1.50, 3:1.75, 3:2.0, 4:1.25, 4:1.50, 4:1.75, 4:2.0
squared, 0.30 0.56 0.68 0.76, 0.14 0.36 0.48 0.50, 0.16 0.34 0.42 0.52, 0.12 0.24 0.40 0.50, 0.30 0.50 0.58 0.80, 0.10 0.28 0.36 0.42, 0.10 0.28 0.34 0.38, 0.02 0.12 0.22 0.28, 0.34 0.50 0.64 0.68, 0.22 0.38 0.48 0.56, 0.16 0.30 0.34 0.44, 0.06 0.12 0.24 0.28
dtw, 0.82 1.00 1.00 1.00, 0.88 1.00 1.00 1.00, 0.82 1.00 1.00 1.00, 0.84 0.98 1.00 1.00, 0.84 0.92 1.00 1.00, 0.84 0.96 1.00 1.00, 0.88 1.00 1.00 1.00, 0.86 0.94 0.98 0.98, 0.70 0.86 0.92 0.94, 0.64 0.80 0.96 0.98, 0.72 0.92 0.96 0.98, 0.58 0.78 0.84 0.88
adtw, 0.54 0.84 0.90 0.92, 0.38 0.64 0.76 0.84, 0.38 0.66 0.78 0.84, 0.34 0.66 0.74 0.88, 0.70 0.88 0.98 0.98, 0.60 0.78 0.84 0.88, 0.42 0.78 0.84 0.92, 0.38 0.52 0.76 0.84, 0.68 0.88 0.98 1.00, 0.60 0.92 0.96 0.98, 0.56 0.80 0.86 0.98, 0.50 0.72 0.82 0.90
ddtw, 0.84 0.92 0.98 0.98, 0.78 0.94 1.00 1.00, 0.64 0.80 0.94 0.96, 0.72 0.88 0.96 0.98, 0.80 0.92 0.96 1.00, 0.66 0.86 0.94 1.00, 0.72 0.88 0.98 1.00, 0.60 0.78 0.90 0.94, 0.60 0.78 0.78 0.86, 0.52 0.64 0.76 0.76, 0.60 0.78 0.86 0.94, 0.46 0.64 0.72 0.78
erp, 1.00 1.00 1.00 1.00, 0.96 1.00 1.00 1.00, 0.88 1.00 1.00 1.00, 0.92 1.00 1.00 1.00, 1.00 1.00 1.00 1.00, 1.00 1.00 1.00 1.00, 0.96 0.98 1.00 1.00, 0.94 0.98 1.00 1.00, 1.00 1.00 1.00 1.00, 0.98 1.00 1.00 1.00, 0.96 1.00 1.00 1.00, 0.92 1.00 1.00 1.00
edr, 0.60 0.96 1.00 1.00, 0.54 0.72 0.96 0.98, 0.40 0.66 0.82 0.96, 0.48 0.76 0.94 0.98, 0.56 0.92 0.96 1.00, 0.46 0.76 0.90 0.98, 0.48 0.78 0.84 0.94, 0.38 0.58 0.78 0.92, 0.46 0.74 0.84 0.90, 0.38 0.66 0.86 0.94, 0.42 0.68 0.82 0.90, 0.34 0.58 0.68 0.82
lcss, 0.14 0.48 0.62 0.70, 0.18 0.40 0.50 0.60, 0.14 0.36 0.58 0.66, 0.10 0.34 0.52 0.64, 0.20 0.54 0.72 0.82, 0.24 0.44 0.60 0.62, 0.14 0.32 0.42 0.52, 0.10 0.24 0.42 0.52, 0.24 0.48 0.66 0.72, 0.28 0.62 0.72 0.74, 0.16 0.34 0.50 0.58, 0.20 0.40 0.50 0.64
manhattan, 0.50 0.72 0.84 0.90, 0.26 0.46 0.58 0.68, 0.30 0.44 0.58 0.70, 0.28 0.42 0.60 0.72, 0.58 0.80 0.92 0.94, 0.32 0.50 0.62 0.72, 0.36 0.52 0.60 0.62, 0.22 0.32 0.38 0.50, 0.58 0.68 0.78 0.84, 0.52 0.72 0.80 0.80, 0.38 0.62 0.66 0.68, 0.20 0.34 0.46 0.54
minkowski, 0.30 0.56 0.68 0.76, 0.14 0.36 0.48 0.50, 0.16 0.34 0.42 0.52, 0.12 0.24 0.40 0.50, 0.30 0.50 0.58 0.80, 0.10 0.28 0.36 0.42, 0.10 0.28 0.34 0.38, 0.02 0.12 0.22 0.28, 0.34 0.50 0.64 0.68, 0.22 0.38 0.48 0.56, 0.16 0.30 0.34 0.44, 0.06 0.12 0.24 0.28
msm, 0.98 1.00 1.00 1.00, 0.80 1.00 1.00 1.00, 0.82 1.00 1.00 1.00, 0.90 0.98 1.00 1.00, 0.98 1.00 1.00 1.00, 1.00 1.00 1.00 1.00, 0.94 0.98 1.00 1.00, 0.90 0.98 1.00 1.00, 0.96 0.98 1.00 1.00, 0.96 1.00 1.00 1.00, 1.00 1.00 1.00 1.00, 0.92 0.98 0.98 1.00
