method, precision_at_1, precision_at_3, precision_at_5, precision_at_7, time (No. of dist calls) 
ADTW (2), 0.20, 0.34, 0.52, 0.68, 0.1250600814819336
DDTW (3), 0.38, 0.62, 0.68, 0.78, 0.11712312698364258
DTW (1), 0.32, 0.44, 0.60, 0.74, 0.11116290092468262
ERP (4), 0.24, 0.40, 0.54, 0.70, 0.11948108673095703
EDR (5), 0.22, 0.42, 0.62, 0.76, 0.1195521354675293
Euclidean (0), 0.18, 0.36, 0.52, 0.60, 0.005206584930419922
LCSS (6), 0.20, 0.36, 0.42, 0.52, 0.11057925224304199
Manhattan (7), 0.20, 0.38, 0.50, 0.64, 0.004837989807128906
Minkowski (8), 0.18, 0.36, 0.52, 0.60, 0.013270139694213867
MSM (9), 0.22, 0.40, 0.56, 0.70, 0.16215205192565918
SBD (10), 0.22, 0.32, 0.42, 0.60, 0.24139094352722168
Shape DTW (11), 0.38, 0.48, 0.58, 0.74, 1.0885872840881348
Squared (12), 0.18, 0.36, 0.52, 0.60, 0.004859209060668945
TWE (13), 0.24, 0.42, 0.58, 0.72, 0.3148922920227051
WDDTW (14), 0.40, 0.60, 0.66, 0.72, 0.1250455379486084
WDTW (15), 0.30, 0.42, 0.60, 0.74, 0.12021565437316895
*, 0, 0, 0, 0, 0
PSED, 0.48, 0.62, 0.70, 0.80, 1835.9464626312256 (4129543095.0)
PSED (LB_Shen)
PSED-ADTW, 0.48, 0.62, 0.70, 0.80, 0
PSED-DDTW, 0.50, 0.70, 0.82, 0.86, 0
PSED-DTW, 0.40, 0.50, 0.64, 0.80, 0
PSED-ERP, 0.36, 0.48, 0.62, 0.78, 0
PSED-EDR, 0.26, 0.40, 0.52, 0.58, 0
PSED-Euclidean, 0.48, 0.62, 0.70, 0.80, 0
PSED-LCSS, 0.06, 0.12, 0.16, 0.26, 0
PSED-Manhattan, 0.36, 0.48, 0.62, 0.78, 0
PSED-Minkowski, 0.44, 0.58, 0.70, 0.78, 0
PSED-MSM, 0.36, 0.48, 0.62, 0.78, 0
PSED-SBD, 0.78, 0.96, 1.00, 1.00, 0
PSED-Shape DTW, 0.46, 0.58, 0.68, 0.80, 0
PSED-Squared, 0.48, 0.62, 0.70, 0.80, 0
PSED-TWE, 0.36, 0.48, 0.60, 0.78, 0
PSED-WDDTW, 0.50, 0.70, 0.82, 0.86, 0
PSED-WDTW, 0.40, 0.50, 0.64, 0.78, 0
*, 0, 0, 0, 0, 0
PSDTW, 0.36, 0.50, 0.60, 0.76, 38931.84747290611 (lgpu2)
PSDTW (LB_Shen)
PSDTW-ADTW, 0.22, 0.32, 0.56, 0.72, 0
PSDTW-DDTW, 0.38, 0.56, 0.72, 0.82, 0
PSDTW-DTW, 0.36, 0.50, 0.60, 0.76, 0
PSDTW-ERP, 0.26, 0.50, 0.60, 0.70, 0
PSDTW-EDR, 0.24, 0.38, 0.48, 0.60, 0
PSDTW-Euclidean, 0.22, 0.34, 0.54, 0.64, 0
PSDTW-LCSS, 0.08, 0.14, 0.32, 0.36, 0
PSDTW-Manhattan, 0.22, 0.48, 0.58, 0.70, 0
PSDTW-Minkowski, 0.20, 0.40, 0.64, 0.78, 0
PSDTW-MSM, 0.24, 0.48, 0.58, 0.72, 0
PSDTW-SBD, 0.52, 0.68, 0.80, 0.84, 0
PSDTW-Shape DTW, 0.40, 0.54, 0.72, 0.78, 0
PSDTW-Squared, 0.22, 0.34, 0.54, 0.64, 0
PSDTW-TWE, 0.32, 0.48, 0.64, 0.70, 0
PSDTW-WDDTW, 0.34, 0.54, 0.66, 0.76, 0
PSDTW-WDTW, 0.36, 0.52, 0.60, 0.76, 0

